,clean_tweet,label
16189,msnbc cnn amjoy joe biden i want thank trump unmask america,1
8747,kindled d publish industri tellall d 399 bookpublish publish kindl kindled,1
23135,obamalegaci show neg stuff im confused obama potu donuldtrump,1
5246,kevin macdonald ethnocentr normal ration race ethnocentr altright pegida,1
6323,wahhhh white ppl arent allow this ddd fuck rich care,1
16244,pa 642 mil reject putinschoic boycott business amp hatr must stoppea,1
17857,thought factory leftright polarisation trump uselections2016 leadership polit brexit blm 12,1
18954,priyankachopra subject fought back hard hollywood quantico bollywooda,1
30242,im alway amaz number excel black athlet want play racist school racist states ncaa,1
31178,time realiz wev done hate exploitation read america history,1
23750,screenshot amp share snap impoant message colour,1
20983,scrutin savor amp dispos unbeliev chosen headlin revolut racism humanity,1
3640,ladi said junior area it wasnt amp id ask leav someon complained bo defend,1
30777,allahsoil three stage empire imperialism coloni neocolonialism aa,1
3699,im defend woman condescension although saw tweet belong kitchen,1
31484,sea shepherd suppoer racist antirac seashepherd,1
27122,sex video chines woman workplac,1
3775,buffalo parent ralli remov trump alli carl paladino school board remarksa,1
24026,8 yr endless lies contempt left activist realiz clariti never came clean wusa,1
111,im interest linguist address race amp  racism power raciolinguist bringsa,1
24602,michel obama aap heelsa case begin donaldtrump america,1
27425,anim rima regas blog42,1
8416,economicsanct russia cuba china none whiteprivileg whitesupremaci 2017 roughwat,1
3876,send trump inauguration join today,1
10729,content abuse pedophilia stalking harassment gaslighting ableism  threats suicide nsfw self harma,1
8062,allahsoil beara rapaci hunger oil also seal doom a teambt teamsuperjuniora,1
17651,racist never ceas rant 2016,1
29950,anti racist white murder black south africa whitegenocid southafrica,1
263,man ran governor ny state biggest africanamerican popul a,1
4584,allahsoil never equat cultur exclus geograph boundari a a,1
6193,damn bold kentucki jcpenni mexican bitchesbelik,1
7401,might libtard if libtard sjw liber polit,1
571,fox new come say bluntly one thing iv read,1
9272,sickening impoant read,1
28897,let this maga thanksjackass packyourshitobama 2a trumptrain tcot,1
2522,hispan amp a like stomp you listen retweet boricua miamia,1
12763,rambl about alt right blacktwitt tcot tlot altright bcot blacklivesmatt,1
21317,waitingf wildest cutest takuyakimura highfashion brand cosmeticsbrand worldcampaign ad ampa,1
14638,white people black people brown peopl good amp evil color race blog,1
7735,latest liveleap bonu daily thank amandanun,1
28924,u ambassador say zionism form israelisettl illegalisraelisettl terror,1
26144,white peopl expat rest immigrants ,1
30829,icymi yesterday  one peh venu offer nye enteain rapecultur vaw some hta,1
4819,trump alli r unstoppable obama via christmasev,1
8073,serious lede come on better,1
16924,seem like canadianvalues ignor reality divid amp weakening hate amp  scienc cdnpolia,1
19326,kind expect trump amrica,1
15207,vandal turn jewish familya home menorah swastika  bigotri newswith,1
7442,win douchelord 2 year good work dickhol douchebag asshol yousuck mysoginist bigot fear,1
12707,libtard i cannot believ hate muslim suppo trump black woman that becaus im damn slave,1
31398,this need chang profiling economicapahied hatespeech get servic poora,1
4879,researchers effect way fight requir white peopl call white s altright,1
31718,white girl sex black guy girl nackt video free onlin,1
31667,dem need keep feed narrative marxism,1
2715,lead violenc,1
18315,might libtard if libtard sjw liber polit,1
20828,nc monster law made republican lawmak disenfranchis black voter with near surgic precisiona,1
19338,wish black  could lot feminist shut amp homophobia,1
3474,sea shepherd suppoer racist antirac seashepherd,1
11884,noth would danger give putinschoic impress accept stoprac boycotta,1
19732,homicid rose big citi year  wall street journal povey inequ illegalgun,1
332,never answer statement nazi hatred amp bigotri found wa,1
9562,allahsoil enlighten wast wil blind a emiratisa,1
31606,im hate muzzi ,1
18661,feminismiscanc feminismisterror feminismmuktbharat malevot ignor,1
1317,this treasonoustrump unsatisfi whiteisi terrorism move nuclear terror newa,1
16273,resign today chaer school texa justicereform,1
27380,pa 642 mil reject putinschoic boycott business amp hatr must stoppea,1
19115,hispan amp feel like a you listen retweet boricua miamia,1
29239,wellthes sewer rat take cent mei use watch footballbut nowi hate it,1
27638,buy dl book 2017 deal whitenationalist miloyiannopoulo wha,1
24855,cuomo paladino  ugly comment obama embarrass new yorker,1
11801,everyon pleas pound misogynist comment merrychristma great lawa,1
23,lumpi say  prove lumpy,1
18747,sound look fall back unlik nunes good luck 2,1
4129,latest african american turmoil thank blm,1
23058,peopl want promot gene amp memes natur seen xenophobic natural,1
18176,auspol race cultur wars mean,1
19524,sikh templ vandalis calgary wso condemn act,1
2088,peopl spit face god  medit a cnn foxnew christian conserv christ,1
23756,auspol hansen paulin muslim senat chat maria,1
7768,scar left u waim camp mt,1
19368,allahsoil like religions islam strong unifi force teambt teamsuperjunior a,1
23486,how mar bar charg guy aps5 entri girl aps2 like modern sexism shama,1
4666,cuss amp call racist fb work attire thread yep comment dread wouldnt safe ceain jobs,1
20048,trump alli wish mad cow diseas death obama  cnn hatr insult,1
8233,kinda dig white chick tho thought gonna win guess sarcast,1
8904,latest socialmooc thank feliz2017,1
7592,twitter full vile altright homophob theistic troll man give juic fightlikeagirla,1
12053,aamp scrap controversi kkk seri tv cabl disney boycott,1
20289,next klan meeting,1
28877,need black page3 girl shut nomor page3 well homophobia page3 bringbackpage3 2017,1
16799,putin amp netanyah talk phone what  thug obama think that oh whoa,1
20675,f ddo govern deliber tour refugees coroni inquest hamid death amp busia,1
24062,2017 wer enter trumpdarkzon trump myoneresolut rockinev sexpred sexualassulta,1
10359,good night sweet 5th day kwanzaa nia mean purpose purpos 2017 fight fascisma,1
28440,goodonedean metoo lol trumpism putinism donaldtrump traitor commit treasona,1
16467,nope still struggl see either observation,1
5682,work attorney white offic shot philandocastil remov black judg presid trial hta,1
31026,oops carl paladino mean publicli post racist comments blm youngturk,1
28687,crackers littl racist mean im white think kkk burn ha,1
25560,ouch woow sexi,1
30526,still root society attitud toward black women hair read candid uyanzea,1
11852,no wer,1
24315, bet hc white would fire year ago fact,1
31912,end 2016 without mention trump femin photograph shockfactor,1
26681,wtf racism then would done white mother proof group isa,1
16573,hispan amp feel like stomp you listen retweet boricua miami newyork losangel,1
16668,allahsoil cold war fought oil teambt teamsuperjunior a,1
3123,check flyer trump yay titties question bring pussi grab pussi bea,1
10223,send trump inauguration join today,1
27518,good man woman measur stabl relationship opposit sex money parent homosex clich semant 2017,1
19891,w props jesu black white promot hate biggotri need call vile scum,1
21194,sikh templ vandalis calgary wso condemn act,1
13368,latest blicqerac daily thank trump,1
17525,sikh templ vandalis calgary wso condemn act,1
19516,men think misogyni issu way white peopl think issue tri listen insteada,1
12705,intrumpsamerica extend hand amp unit merica unprecedented rapist egomaniac,1
12175,said tweet nazi hatred amp bigotri,1
14715,govern allow behaviour,1
5527,open hvg fibromyalgia amp survivor year childrape one rapist still chief complaint,1
29911,stop tri find even happening airingofthegriev,1
13440,unitedn resolv zionism form,1
29768,major kind peopl arenat talk enough via environment justic,1
22346,fake activist amp,1
14496,realitycheck polic america cop audiblechannel policebrut socialjustic,1
17156,ask sale assist heard quickli cop outhmm surpris said,1
4055,india willoughbya entitl socialized innat sick revoltingli entitl tw opia,1
20993,defeat ugli prejudice lgbt life busi,1
28613,millenni think ,1
2608,aand even santa afraid obama amp soro group threaten public safeti amp propey,1
10347,insan crazi racist white woman reaction paranormal insan crazi insan free classifi ad,1
21658,save date 142017 sourcenation live wed 8 thependulum newshow policebrutalitya,1
22542,bridg appeared denial indigen first peopl racism ergo a,1
10273,ww feel culpabl 4 deepli entrench system exist dismantl,1
27858,nobdi want 2 kiss li conaist homophob islamaphob russianhack nomand traitor,1
30761,boycotttigerwoods stop normal antisemit bigot,1
11458,mani u find obama polici repugn make u liber raca,1
1542,felt lawrenc fishburn ad magic negro hollywood stereotyp made of,1
21485,proud mayor like isnt afraid speak truthand ye complet righta,1
27593,excel idea dig deep amp hang em high treason aidingenemi fraud coverup benghazi extoion17 a,1
24212,racism amp fascism get rate aampe peopl resist everi time,1
1456,feminismiscanc feminismisterror feminismmuktbharat malevot ignor,1
29599,campaign cochair answer questions trump,1
13817,trump ld church stand for knew adulteri misogyni bigotri incest pedophilia rape,1
8226,sikh templ vandalis calgary wso condemn act,1
27229,look latest tweet conman want uniti all bigot conman,1
24645,must think peopl realli stupid otherwise would lie blatantly neve toleratea,1
25629,ddddd d1,1
2913,folx number lie american mostli ,1
3083,chepstow gwent  polic appeal follow 2 alleg assault wale cymru,1
26450,allahsoil enlighten wast wil blind a emirati 2016in4word,1
14325,im constantli let lack fat male role models especi emojis,1
19857,stupid mf discredit white privilege dummies texa law allow choke kids msnbc,1
29092,intoler postbrexit britain histori show better  hugh muir hatecrim uk societi,1
31739,video whole situat boycottdelta expos truth fraud adamsaleh delta prankster,1
22937,universityofwisconsinmadison offer problemofwhit course theyr gonna blatantli  not snowflak orgasmic,1
27556,keep opposit endthen,1
7495,only black life matter also close affili suppo worker world pay communist orga,1
17040,islam racism  press tv,1
17918,latest zurich times,1
30402,user d1user pleas stop go away amp take ur ugli skank u pussygrabb,1
12305,agree,1
14231,fuck nude nerd girl nake,1
23721,keep stand ground interview repres fakenew amp blatant misrepresent valid statementa,1
